[2025-03-02 16:48:45] Received scan results from client 151
Invalid Props Reported by Client:
1. Category: Lights | Object: V_44_D_emis | Name: Light 36
2. Category: Lights | Object: apa_mp_h_lit_floorlamp_04 | Name: Light 39
3. Category: Lights | Object: hei_heist_lit_lamptable_05 | Name: Light 43
4. Category: Details | Object: v_20_ornaeagle | Name: Figurine adelaar
5. Category: Storage | Object: v_61_lng_mesh_unitc | Name: Bookcase white
6. Category: Bathroom | Object: prop_sink_03 | Name: Sink 5
7. Category: Walldecoration | Object: apa_mp_stilts_bed_art | Name: 3d art
8. Category: Walldecoration | Object: apa_mp_stilts_a_study_pics | Name: Paintingen
Starting furniture analysis from ak47_housing table...
=== Global Prop Usage Summary ===
Prop: v_res_tt_porndvd03 | Used: 7 times
Prop: gr_prop_gr_target_04a | Used: 1 times
Prop: vw_prop_casino_art_mod_03b_a | Used: 1 times
Prop: vw_prop_casino_art_car_09a | Used: 10 times
Prop: prop_couch_04 | Used: 1 times
Prop: bkr_prop_coke_cut_02 | Used: 16 times
Prop: prop_towel_rail_01 | Used: 16 times
Prop: vw_prop_vw_colle_sasquatch | Used: 10 times
Prop: v_med_whickerchair1 | Used: 1 times
Prop: bkr_prop_coke_bottle_01a | Used: 2 times
Prop: prop_muscle_bench_03 | Used: 1 times
Prop: v_ret_csr_table | Used: 2 times
Prop: bkr_prop_clubhouse_jukebox_01a | Used: 5 times
Prop: vw_prop_vw_wallart_135a | Used: 6 times
Prop: v_res_sculpt_decd | Used: 12 times
Prop: bkr_prop_biker_campbed_01 | Used: 2 times
Prop: prop_tree_cedar_s_04 | Used: 50 times
Prop: bkr_prop_coke_scale_01 | Used: 3 times
Prop: vw_prop_casino_art_mod_03a | Used: 1 times
Prop: apa_mp_h_lit_lamptable_04 | Used: 2 times
Prop: v_med_cor_ceilingmonitor | Used: 3 times
Prop: gr_prop_gr_campbed_01 | Used: 3 times
Prop: prop_vend_fridge01 | Used: 30 times
Prop: vw_prop_vw_wallart_81a | Used: 6 times
Prop: apa_mp_h_floor_lamp_int_08 | Used: 1 times
Prop: prop_cs_milk_01 | Used: 1 times
Prop: test_tree_forest_trunk_04 | Used: 18 times
Prop: prop_bar_fruit | Used: 14 times
Prop: prop_direct_chair_01 | Used: 1 times
Prop: v_res_mbowlornate | Used: 12 times
Prop: prop_toilet_roll_05 | Used: 1 times
Prop: prop_monitor_01c | Used: 1 times
Prop: prop_ld_farm_table02 | Used: 5 times
Prop: bkr_prop_weed_fan_floor_01a | Used: 3 times
Prop: hei_heist_acc_rugwooll_01 | Used: 66 times
Prop: v_res_sketchpad | Used: 2 times
